id,filler%,speaker_balance,total_word_count,word_length_2,word_length_3,word_length_4,word_length_5,word_length_6,word_length_7,8+ words,average_sentence_sentiment,minimum_sentence_sentiment,maximum_sentence_sentiment
p10,0.12462612163509472,0.9011680143755616,428,0.18691588785046728,0.07710280373831775,0.17990654205607476,0.14485981308411214,0.1378504672897196,0.08177570093457943,0.19158878504672897,0.20700192307692306,-0.7278,0.9228
p11,0.07368421052631578,0.8950201884253028,279,0.04659498207885305,0.12186379928315412,0.13620071684587814,0.17921146953405018,0.11469534050179211,0.1111111111111111,0.2903225806451613,0.2092516129032258,-0.3612,0.9022
p12,0.08745874587458746,0.8499298737727911,221,0.058823529411764705,0.10407239819004525,0.33031674208144796,0.18099547511312217,0.10407239819004525,0.08144796380090498,0.14027149321266968,0.18312799999999999,-0.4082,0.9633
p13,0.10124333925399645,0.8742236024844721,228,0.07017543859649122,0.14473684210526316,0.16666666666666666,0.07456140350877193,0.19736842105263158,0.12280701754385964,0.2236842105263158,0.15438636363636363,-0.8392,0.8979
p14,0.07962962962962963,0.8823529411764706,210,0.05714285714285714,0.1,0.24285714285714285,0.12380952380952381,0.13333333333333333,0.09047619047619047,0.2523809523809524,0.24273636363636367,-0.4215,0.8379
p15,0.14165890027958994,0.8911960132890365,438,0.15296803652968036,0.0730593607305936,0.2922374429223744,0.0821917808219178,0.14840182648401826,0.0730593607305936,0.1780821917808219,0.290637037037037,-0.5423,0.9325
p16,0.1168,0.8790436005625879,263,0.026615969581749048,0.08365019011406843,0.2889733840304182,0.11406844106463879,0.16730038022813687,0.09885931558935361,0.22053231939163498,0.29471864406779663,-0.3612,0.9687
p17,0.12598425196850394,0.8410596026490066,199,0.22110552763819097,0.08040201005025126,0.18592964824120603,0.1507537688442211,0.11055276381909548,0.09045226130653267,0.16080402010050251,0.21430847457627117,-0.7096,0.9001
p20,0.09411764705882353,0.8095238095238095,175,0.13142857142857142,0.06857142857142857,0.2342857142857143,0.12571428571428572,0.13714285714285715,0.08571428571428572,0.21714285714285714,0.16404791666666665,-0.4019,0.8717
p21,0.1687116564417178,0.9097674418604651,427,0.1686182669789227,0.053864168618266976,0.30679156908665106,0.13817330210772832,0.09133489461358314,0.08430913348946135,0.15690866510538642,0.37914444444444445,-0.5994,0.9757
